#Exported guards/filters for Ahazi by SWGAide: http://simongronlund.googlepages.com/SWGAide,,,,,,,,,,,,,,,,
#guardName,resource class,ER,CR,CD,DR,FL,HR,MA,OQ,SR,UT,PE,limit,alert[,allowZeros[,notes]]
Domestic-Beans,Beans,0,0,0,33,66,0,0,0,0,0,0,960,1,1,Trimpian (F)
Domestic-Beans,Beans,0,0,0,25,0,0,0,0,0,0,75,960,1,1,"T'illa-T'ill (Q), Trimpian (Q)"
Domestic-Beans,Beans,0,0,0,25,0,0,0,0,75,0,0,960,1,1,Ormachek (Q)
Domestic-Beans,Beans,0,0,0,0,66,0,0,33,0,0,0,960,1,1,"T'illa-T'ill (F), Ormachek (F)"
Domestic-Beans,Beans,0,0,0,0,0,0,0,33,0,0,66,960,1,1,"T'illa-T'ill (N), Trimpian (N), Ormachek (N)"
Domestic-Berries,Berries,0,0,0,33,66,0,0,0,0,0,0,960,1,1,Veronian Berry Wine (F)
Domestic-Berries,Berries,0,0,0,25,0,0,0,0,0,0,75,960,1,1,"Veronian Berry Wine (Q), Dweezel (Q), Gorrnar (Q), Kiwik Clusjo Swirl (Q), Vagnerian Canape (Q), Fruit Substitutes"
Domestic-Berries,Berries,0,0,0,0,20,0,0,50,0,0,30,960,1,1,Multisaccharide Pentamate
Domestic-Berries,Berries,0,0,0,0,0,0,0,33,0,0,66,960,1,1,"Veronian Berry Wine (N), Dweezel (N), Gorrnar (N), Kiwik Clusjo Swirl (N), Vagnerian Canape (N)"
Domestic-Berries,Berries,0,0,0,0,66,0,0,33,0,0,0,960,1,1,"Dweezel (F), Gorrnar (F), Kiwik Clusjo Swirl (F), Vagnerian Canape (F)"
Domestic-Bone,Bone,0,0,0,0,66,0,0,33,0,0,0,960,1,1,"Cho-Nor-Hoola (F), Caramelized Pkneb (F), Deneelian Fizz Pudding (F)"
Domestic-Bone,Bone,0,0,0,0,0,0,0,33,0,0,66,960,1,1,"Cho-Nor-Hoola (N), Caramelized Pkneb (N), Deneelian Fizz Pudding (N)"
Domestic-Bone,Bone,0,0,0,25,0,0,0,0,0,0,75,960,1,1,"Cho-Nor-Hoola (Q), Caramelized Pkneb (Q)"
Domestic-Bone,Bone,0,0,0,25,0,0,0,0,75,0,0,960,1,1,Deneelian Fizz Pudding (Q)
Domestic-Bristley Hide,Bristley Hide,0,0,0,25,0,0,0,0,75,0,0,960,1,1,Ormachek (Q)
Domestic-Bristley Hide,Bristley Hide,0,0,0,0,66,0,0,33,0,0,0,960,1,1,Ormachek (F)
Domestic-Bristley Hide,Bristley Hide,0,0,0,0,0,0,0,33,0,0,66,960,1,1,Ormachek (N)
Domestic-Carnivore Meat,Carnivore Meat,0,0,0,25,0,0,0,0,0,0,75,960,1,1,Bivoli Tempari (Q)
Domestic-Carnivore Meat,Carnivore Meat,0,0,0,0,66,0,0,33,0,0,0,960,1,1,Bivoli Tempari (F)
Domestic-Carnivore Meat,Carnivore Meat,0,0,0,0,0,0,0,33,0,0,66,960,1,1,Bivoli Tempari (N)
Domestic-Cereal,Cereal,0,0,0,33,66,0,0,0,0,0,0,960,1,1,Caf (F)
Domestic-Cereal,Cereal,0,0,0,25,0,0,0,0,0,0,75,960,1,1,"Caf (Q), Jawa Beer (Q), Starshine Surprise (Q), Crispic (Q), Almond-Kwevvu Crisp (Q), Veghash (Q), Bofa Treat (Q)"
Domestic-Cereal,Cereal,0,0,0,25,0,0,0,0,75,0,0,960,1,1,"Synthsteak (Q), Travel Biscuit (Q)"
Domestic-Cereal,Cereal,0,0,0,0,20,0,0,50,0,0,30,960,1,1,"Hyper Yeast Concentrate, Hyper Yeast Additive, Edible Nano Constrictors"
Domestic-Cereal,Cereal,0,0,0,0,0,0,0,33,0,0,66,960,1,1,"Caf (N), Jawa Beer (N), Starshine Surprise (N), Synthsteak (N), Crispic (N), Almond-Kwevvu Crisp (N), Veghash (N), Bofa Treat (N), Travel Biscuit (N)"
Domestic-Cereal,Cereal,0,0,0,0,66,0,0,33,0,0,0,960,1,1,"Jawa Beer (F), Starshine Surprise (F), Synthsteak (F), Crispic (F), Almond-Kwevvu Crisp (F), Veghash (F), Bofa Treat (F), Travel Biscuit (F)"
Domestic-Copper,Copper,0,0,0,0,0,0,0,33,33,33,0,960,1,1,"Adv Chemical Reactive Unit, Chemical Reactive Unit"
Domestic-Copper,Copper,0,0,100,0,0,0,0,0,0,0,0,960,1,1,Reverse Engineering Tool
Domestic-Corel Berry,Corellia Berry Fruit,0,0,0,25,0,0,0,0,0,0,75,960,1,1,Corellian Brandy (Q)
Domestic-Corel Berry,Corellia Berry Fruit,0,0,0,0,66,0,0,33,0,0,0,960,1,1,Corellian Brandy (F)
Domestic-Corel Berry,Corellia Berry Fruit,0,0,0,0,0,0,0,33,0,0,66,960,1,1,Corellian Brandy (N)
Domestic-Corel Dom Wheat,Corellian Domesticated Wheat,0,0,0,25,0,0,0,0,0,0,75,960,1,1,Corellian Ale (Q)
Domestic-Corel Dom Wheat,Corellian Domesticated Wheat,0,0,0,0,66,0,0,33,0,0,0,960,1,1,Corellian Ale (F)
Domestic-Corel Dom Wheat,Corellian Domesticated Wheat,0,0,0,0,0,0,0,33,0,0,66,960,1,1,Corellian Ale (N)
Domestic-Corel Fruit,Corellian Fruit,0,0,0,25,0,0,0,0,0,0,75,960,1,1,Corellian Brandy (Q)
Domestic-Corel Fruit,Corellian Fruit,0,0,0,0,66,0,0,33,0,0,0,960,1,1,Corellian Brandy (F)
Domestic-Corel Fruit,Corellian Fruit,0,0,0,0,0,0,0,33,0,0,66,960,1,1,Corellian Brandy (N)
Domestic-Corn,Corn,0,0,0,20,0,0,0,80,0,0,0,960,1,1,Enzyme Re-Processor Filter
Domestic-Creature Food,Creature Food,0,0,0,0,20,0,0,50,0,0,30,960,1,1,"Broad-Spectrum Nutrients, Intelligent Nanonutrients, Micronutrient Supplement"
