#Exported guards/filters for Europe-Chimaera by SWGAide: http://simongronlund.googlepages.com/SWGAide,,,,,,,,,,,,,,,,
#guardName,resource class,ER,CR,CD,DR,FL,HR,MA,OQ,SR,UT,PE,limit,alert[,allowZeros[,notes]]
Shp - Armour,Aluminum,0,0,0,0,0,25,0,25,0,50,0,960,1,1,Elite Armor (POB); Gunship Armor M1 - M3; Durasteel Plating M1 - M5; 
Shp - Armour,Inert Petrochemical,0,0,0,0,0,25,0,25,0,50,0,960,1,1,Gunship Armor M1 - M3; Durasteel Plating M1 - M5; 
Shp - Armour,Aluminum,0,0,0,0,0,0,0,25,0,75,0,960,1,1,Mass Reduction Kit M1 - M5;
Shp - Armour,Perovskitic Aluminum,0,0,0,0,0,0,0,25,0,75,0,960,1,1,Mass Reduction Kit M1 - M5;
Shp - Armour,Steel,0,0,0,0,0,25,0,25,0,50,0,960,1,1,Elite Armor (POB); Gunship Armor M1 - M3; Durasteel Plating M1 - M5
Shp - Armour,Crystallized Bicorbantium Steel,0,0,0,0,0,17,0,8,0,75,0,960,1,1,Armor Reinforcement Panel M1 - M5
Shp - Armour,Steel,0,0,0,0,0,17,0,8,0,75,0,960,1,1,Armor Reinforcement Panel M1 - M5
Shp - Booster,Steel,0,0,0,0,0,0,0,50,0,0,50,960,1,1,Booster Overdriver M1 - M5; 
Shp - Booster,High Grade Polymetric Radioactive,0,0,0,0,0,0,0,50,0,0,50,960,1,1,Booster Overdriver M1 - M5; 
Shp - Booster,High Grade Polymetric Radioactive,0,0,0,0,0,0,0,33,0,0,66,960,1,1,Extended Life Fuel Cell M1 - M5; 
Shp - Booster,Steel,0,0,0,0,0,0,0,33,0,0,66,960,1,1,Extended Life Fuel Cell M1 - M5; 
Shp - Booster,Steel,0,0,0,33,0,0,0,66,0,0,0,960,1,1,Fast Charge Fuel Cell M1 - M5; 
Shp - Booster,Unstable Organometallic Reactive Gas,0,0,0,33,0,0,0,66,0,0,0,960,1,1,Fast Charge Fuel Cell M1 - M5; 
Shp - Booster,Unstable Organometallic Reactive Gas,0,0,0,66,0,0,0,33,0,0,0,960,1,1,Heavy Fuel Cell M1 - M5; 
Shp - Booster,Steel,0,0,0,66,0,0,0,33,0,0,0,960,1,1,Heavy Fuel Cell M1 - M5; ,,
Shp - Booster,Steel,0,0,16,0,0,0,0,28,0,16,40,960,1,1,Elite Booster (POB),,
Shp - Booster,Liquid Petrochem Fuel,0,0,16,0,0,0,0,28,0,16,40,960,1,1,Elite Booster (POB),,
Shp - Booster,Aluminum,0,0,14,0,0,0,0,29,0,22,35,960,1,1,Booster M1 - M5,,
Shp - Booster,Low-Grade Ore,0,0,14,0,0,0,0,29,0,22,35,960,1,1,Booster M1 - M5,,
Shp - Booster,Steel,0,0,14,0,0,0,0,29,0,22,35,960,1,1,Booster M1 - M5,,
Shp - Booster,Liquid Petrochem Fuel,0,0,14,0,0,0,0,29,0,22,35,960,1,1,Booster M1 - M5,,
Shp - Capacitor,Low-Grade Ore,0,0,33,0,0,0,0,33,0,33,0,960,1,1,Weapons Capacitor M1 - M6,,
Shp - Capacitor,Steel,0,0,33,0,0,0,0,33,0,33,0,960,1,1,Gunship Capacitor M1 - M3; Weapons Capacitor M1 - M6,,
Shp - Capacitor,Steel,0,0,40,0,0,0,0,33,0,27,0,960,1,1,Elite Capacitor (POB); Mining-grade Capacitor,,
Shp - Capacitor,Copper,0,0,40,0,0,0,0,33,0,27,0,960,1,1,Elite Capacitor (POB); Mining-grade Capacitor,,
Shp - Capacitor,Copper,0,0,33,0,0,0,0,33,0,33,0,960,1,1,Gunship Capacitor M1 - M3; Weapons Capacitor M1 - M6,,
Shp - Capacitor,Conductive Borcarbitic Copper,0,0,75,0,0,0,0,25,0,0,0,960,1,1,Energy Saver Battery M1 - M5; Heavy Battery M1 - M5; Quick Recharge Battery M1 - M5,,
Shp - Capacitor,Steel,0,0,75,0,0,0,0,25,0,0,0,960,1,1,Energy Saver Battery M1 - M5; Heavy Battery M1 - M5; Quick Recharge Battery M1 - M5,,
Shp - Capacitor ,Inert Gas,0,0,33,0,0,0,0,33,0,33,0,960,1,1,Weapons Capacitor M1 - M6,,
Shp - Cargo Hold,Steel,0,0,0,0,0,0,0,50,0,50,0,960,1,1,Huge, Large, Medium and Small Cargo Hold (POB / Y-8 / Starfighter)
Shp - Chassis,Steel,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (All)
Shp - Chassis,Low-Grade Ore,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (All)
Shp - Chassis,Inert Petrochemical,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (All except High Mass Varients)
Shp - Chassis,Aluminum,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (All)
Shp - Chassis,Fiberplast,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (Select)
Shp - Chassis,Iron,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (Select)
Shp - Chassis,Siliclastic Ore,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (Select)
Shp - Chassis ,Copper,0,0,0,0,0,12,12,25,25,25,0,960,1,1,Ship Chassis (Select)
Shp - Cm Launcher,Steel,0,0,13,0,0,0,0,37,0,50,0,960,1,1,Countermeasure Launchers - All
Shp - Cm Launcher,Radioactive,0,0,13,0,0,0,0,37,0,50,0,960,1,1,Countermeasure Launchers - All
Shp - Cm Pack,Steel,0,0,50,0,0,0,0,50,0,0,0,960,1,1,Countermeasure Pack - All
Shp - Cm Pack,Metal,0,0,50,0,0,0,0,50,0,0,0,960,1,1,Countermeasure Pack - All
Shp - DI,Steel,0,0,60,0,0,0,0,40,0,0,0,960,1,1,Droid Brain Upgrade M1 - M5; Maintenance Reduction Kit M1 - M5
Shp - DI,Conductive Borcarbitic Copper,0,0,60,0,0,0,0,40,0,0,0,960,1,1,Droid Brain Upgrade M1 - M5; Maintenance Reduction Kit M1 - M5
Shp - DI,Steel,0,0,17,0,0,0,0,40,7,36,0,960,1,1,Droid Interface M1 - M5
Shp - DI,Copper,0,0,17,0,0,0,0,40,7,36,0,960,1,1,Droid Interface M1 - M5
Shp - DI,Fiberplast,0,0,17,0,0,0,0,40,7,36,0,960,1,1,Droid Interface M1 - M5
Shp - DI,Low-Grade Ore,0,0,17,0,0,0,0,40,7,36,0,960,1,1,Droid Interface M1 - M5
Shp - Engine,Steel,0,0,40,0,0,0,0,60,0,0,0,960,1,1,Engine Limiter M1 - M5; Engine Overdriver M1 - M5
Shp - Engine,Fermionic Siliclastic Ore,0,0,40,0,0,0,0,60,0,0,0,960,1,1,Engine Limiter M1 - M5; Engine Overdriver M1 - M5
Shp - Engine,Steel,0,0,0,0,0,0,0,100,0,0,0,960,1,1,Engine Overhaul M1 & 2; Engine Stabilizer M1 & 2
